ticker,date,period_ending,estimate,reported,surprise,surprise%
O,2-Aug-23,Jun-23,0.99,0.29,-0.7,-70.71
OB,8-Aug-23,Jun-23,-0.12,-0.08,0.04,33.33
OBT,26-Jul-23,Jun-23,0.93,1.61,0.68,73.12
OC,26-Jul-23,Jun-23,3.3,4.22,0.92,27.88
OCFC,20-Jul-23,Jun-23,0.49,0.46,-0.03,-6.12
OCN,3-Aug-23,Jun-23,-0.17,2.9,3.07,1805.88
OCUL,7-Aug-23,Jun-23,-0.29,-0.27,0.02,6.9
ODFL,26-Jul-23,Jun-23,2.63,2.65,0.02,0.76
ODP,9-Aug-23,Jun-23,0.75,0.99,0.24,32
OEC,9-Aug-23,Jun-23,0.59,0.53,-0.06,-10.17
OFG,20-Jul-23,Jun-23,0.84,0.93,0.09,10.71
OFIX,8-Aug-23,Jun-23,-0.67,0.02,0.69,102.99
OGE,8-Aug-23,Jun-23,0.65,0.44,-0.21,-32.31
OGN,8-Aug-23,Jun-23,0.97,1.31,0.34,35.05
OGS,31-Jul-23,Jun-23,0.59,0.58,-0.01,-1.69
OHI,2-Aug-23,Jun-23,0.69,0.25,-0.44,-63.77
OI,1-Aug-23,Jun-23,0.83,0.88,0.05,6.02
OII,26-Jul-23,Jun-23,0.3,0.18,-0.12,-40
OIS,27-Jul-23,Jun-23,0.06,0.01,-0.05,-83.33
OKE,7-Aug-23,Jun-23,1,1.04,0.04,4
OKTA,30-Aug-23,Jul-23,0.21,0.31,0.1,47.62
OLED,3-Aug-23,Jun-23,0.75,1.04,0.29,38.67
OLLI,31-Aug-23,Jul-23,0.61,0.67,0.06,9.84
OLMA,8-Aug-23,Jun-23,-0.73,-0.49,0.24,32.88
OLN,27-Jul-23,Jun-23,1.04,1.13,0.09,8.65
OLO,1-Aug-23,Jun-23,0.02,0.04,0.02,100
OLP,3-Aug-23,Jun-23,0.52,0.3,-0.22,-42.31
OLPX,8-Aug-23,Jun-23,0.05,0.03,-0.02,-40
OM,2-Aug-23,Jun-23,-0.73,-0.69,0.04,5.48
OMC,18-Jul-23,Jun-23,1.8,1.81,0.01,0.56
OMCL,1-Aug-23,Jun-23,0.28,0.57,0.29,103.57
OMER,9-Aug-23,Jun-23,-0.6,-0.7,-0.1,-16.67
OMF,26-Jul-23,Jun-23,1.24,1.01,-0.23,-18.55
OMI,4-Aug-23,Jun-23,0.16,0.18,0.02,12.5
ON,31-Jul-23,Jun-23,1.2,1.33,0.13,10.83
ONB,25-Jul-23,Jun-23,0.5,0.54,0.04,8
ONEW,3-Aug-23,Jun-23,3.38,1.95,-1.43,-42.31
ONTO,10-Aug-23,Jun-23,0.83,0.79,-0.04,-4.82
OOMA,23-Aug-23,Jul-23,0.14,0.14,0,0
OPCH,27-Jul-23,Jun-23,0.22,0.63,0.41,186.36
OPEN,3-Aug-23,Jun-23,-0.38,-0.31,0.07,18.42
OPI,26-Jul-23,Jun-23,1.07,-0.25,-1.32,-123.36
OPK,3-Aug-23,Jun-23,-0.07,-0.03,0.04,57.14
OPRX,14-Aug-23,Jun-23,-0.02,-0.01,0.01,50
ORA,2-Aug-23,Jun-23,0.38,0.4,0.02,5.26
ORCL,12-Jun-23,May-23,1.58,1.67,0.09,5.7
ORGN,9-Aug-23,Jun-23,-0.14,-0.09,0.05,35.71
ORGO,9-Aug-23,Jun-23,0.02,0.04,0.02,100
ORI,27-Jul-23,Jun-23,0.54,0.62,0.08,14.81
ORIC,10-Aug-23,Jun-23,-0.58,-0.5,0.08,13.79
ORLY,26-Jul-23,Jun-23,10.05,10.22,0.17,1.69
ORRF,25-Jul-23,Jun-23,0.75,0.94,0.19,25.33
OSBC,19-Jul-23,Jun-23,0.54,0.56,0.02,3.7
OSCR,8-Aug-23,Jun-23,-0.33,-0.07,0.26,78.79
OSIS,24-Aug-23,Jun-23,2.54,2.66,0.12,4.72
OSK,1-Aug-23,Jun-23,1.57,2.69,1.12,71.34
OSPN,9-Aug-23,Jun-23,-0.1,-0.18,-0.08,-80
OSUR,3-Aug-23,Jun-23,-0.06,-0.07,-0.01,-16.67
OSW,2-Aug-23,Jun-23,0.14,0.15,0.01,7.14
OTIS,26-Jul-23,Jun-23,0.86,0.92,0.06,6.98
OTLK,14-Aug-23,Jun-23,-0.04,-0.08,-0.04,-100
OTTR,31-Jul-23,Jun-23,1.48,1.95,0.47,31.76
OUT,3-Aug-23,Jun-23,0.51,0.47,-0.04,-7.84
OVV,27-Jul-23,Jun-23,0.91,0.93,0.02,2.2
OWL,1-Aug-23,Jun-23,0.16,0.16,0,0
OXM,31-Aug-23,Jul-23,3.46,3.45,-0.01,-0.29
OXY,2-Aug-23,Jun-23,0.7,0.68,-0.02,-2.86
OZK,20-Jul-23,Jun-23,1.48,1.47,-0.01,-0.68
PACB,2-Aug-23,Jun-23,-0.34,-0.26,0.08,23.53
PACW,25-Jul-23,Jun-23,0.18,0.22,0.04,22.22
PAG,26-Jul-23,Jun-23,4.08,4.41,0.33,8.09
PAGS,24-Aug-23,Jun-23,0.25,0.26,0.01,4
PAHC,30-Aug-23,Jun-23,0.4,0.38,-0.02,-5
PANW,18-Aug-23,Jul-23,1.28,1.44,0.16,12.5
PAR,9-Aug-23,Jun-23,-0.32,-0.52,-0.2,-62.5
PARR,7-Aug-23,Jun-23,1.2,1.73,0.53,44.17
PATH,6-Sep-23,Jul-23,0.03,0.09,0.06,200
PATK,27-Jul-23,Jun-23,1.89,1.94,0.05,2.65
PAX,3-Aug-23,Jun-23,0.31,0.3,-0.01,-3.23
PAYC,1-Aug-23,Jun-23,1.6,1.62,0.02,1.25
PAYO,8-Aug-23,Jun-23,0.03,0.12,0.09,300
PAYX,29-Jun-23,May-23,0.98,0.97,-0.01,-1.02
PB,26-Jul-23,Jun-23,1.19,1.21,0.02,1.68
PBF,3-Aug-23,Jun-23,2.22,2.29,0.07,3.15
PBH,3-Aug-23,Jun-23,1.01,1.06,0.05,4.95
PCAR,25-Jul-23,Jun-23,2.14,2.33,0.19,8.88
PCG,27-Jul-23,Jun-23,0.27,0.23,-0.04,-14.81
PCH,31-Jul-23,Jun-23,0.09,0.06,-0.03,-33.33
PCOR,2-Aug-23,Jun-23,-0.1,0.02,0.12,120
PCRX,2-Aug-23,Jun-23,0.81,0.78,-0.03,-3.7
PCT,8-Aug-23,Jun-23,-0.15,-0.19,-0.04,-26.67
PCTY,3-Aug-23,Jun-23,1.08,1.32,0.24,22.22
PCVX,8-Aug-23,Jun-23,-0.67,-0.7,-0.03,-4.48
PD,31-Aug-23,Jul-23,0.1,0.19,0.09,90
PDCO,30-Aug-23,Jul-23,0.4,0.4,0,0
PDFS,8-Aug-23,Jun-23,0.16,0.19,0.03,18.75
PDM,20-Jul-23,Jun-23,0.46,-0.02,-0.48,-104.35
PEAK,27-Jul-23,Jun-23,0.44,0.09,-0.35,-79.55
PEB,27-Jul-23,Jun-23,0.56,0.24,-0.32,-57.14
PEBO,25-Jul-23,Jun-23,0.71,0.83,0.12,16.9
PECO,1-Aug-23,Jun-23,0.56,0.11,-0.45,-80.36
PEG,1-Aug-23,Jun-23,0.61,0.7,0.09,14.75
PEGA,26-Jul-23,Jun-23,0.05,0.01,-0.04,-80
PEN,1-Aug-23,Jun-23,0.28,0.43,0.15,53.57
PENN,9-Aug-23,Jun-23,0.39,0.48,0.09,23.08
PEP,13-Jul-23,Jun-23,1.95,2.09,0.14,7.18
PETQ,8-Aug-23,Jun-23,0.26,0.46,0.2,76.92
PFBC,19-Jul-23,Jun-23,2.47,2.61,0.14,5.67
PFC,25-Jul-23,Jun-23,0.55,0.68,0.13,23.64
PFE,1-Aug-23,Jun-23,0.56,0.67,0.11,19.64
PFG,27-Jul-23,Jun-23,1.66,1.53,-0.13,-7.83
PFGC,16-Aug-23,Jun-23,1.13,1.14,0.01,0.88
PFS,27-Jul-23,Jun-23,0.36,0.45,0.09,25
PFSI,27-Jul-23,Jun-23,1.11,1.11,0,0
PG,28-Jul-23,Jun-23,1.32,1.37,0.05,3.79
PGC,25-Jul-23,Jun-23,0.9,0.81,-0.09,-10
PGEN,9-Aug-23,Jun-23,-0.1,-0.08,0.02,20
PGNY,3-Aug-23,Jun-23,0.1,0.15,0.05,50
PGR,13-Jul-23,Jun-23,0.88,0.5,-0.38,-43.18
PGRE,31-Jul-23,Jun-23,0.18,0.18,0,0
PGTI,3-Aug-23,Jun-23,0.58,0.58,0,0
PH,3-Aug-23,Jun-23,5.5,6.08,0.58,10.55
PHAT,10-Aug-23,Jun-23,-0.95,-0.84,0.11,11.58
PHM,25-Jul-23,Jun-23,2.47,3,0.53,21.46
PHR,6-Sep-23,Jul-23,-0.75,-0.68,0.07,9.33
PI,26-Jul-23,Jun-23,0.31,0.33,0.02,6.45
PII,25-Jul-23,Jun-23,2.13,2.42,0.29,13.62
PINC,22-Aug-23,Jun-23,0.67,0.68,0.01,1.49
PINS,1-Aug-23,Jun-23,0.12,0.21,0.09,75
PIPR,28-Jul-23,Jun-23,1.07,1.13,0.06,5.61
PJT,25-Jul-23,Jun-23,0.64,0.99,0.35,54.69
PK,2-Aug-23,Jun-23,0.6,-0.7,-1.3,-216.67
PKG,24-Jul-23,Jun-23,1.95,2.31,0.36,18.46
PL,7-Sep-23,Jul-23,-0.15,-0.14,0.01,6.67
PLAB,6-Sep-23,Jul-23,0.52,0.51,-0.01,-1.92
PLAY,6-Sep-23,Jul-23,0.94,0.94,0,0
PLCE,17-Aug-23,Jul-23,-2.16,-2.12,0.04,1.85
PLD,18-Jul-23,Jun-23,1.68,1.31,-0.37,-22.02
PLL,8-Aug-23,Jun-23,-0.46,-0.55,-0.09,-19.57
PLMR,2-Aug-23,Jun-23,0.83,0.86,0.03,3.61
PLNT,3-Aug-23,Jun-23,0.54,0.65,0.11,20.37
PLOW,31-Jul-23,Jun-23,0.88,1.11,0.23,26.14
PLRX,9-Aug-23,Jun-23,-0.73,-0.7,0.03,4.11
PLTK,8-Aug-23,Jun-23,0.21,0.21,0,0
PLTR,7-Aug-23,Jun-23,0.05,0.05,0,0
PLUG,9-Aug-23,Jun-23,-0.28,-0.35,-0.07,-25
PLUS,7-Aug-23,Jun-23,0.99,1.41,0.42,42.42
PLXS,26-Jul-23,Jun-23,1.15,1.32,0.17,14.78
PLYM,3-Aug-23,Jun-23,0.45,-0.08,-0.53,-117.78
PM,20-Jul-23,Jun-23,1.48,1.6,0.12,8.11
PMT,27-Jul-23,Jun-23,0.39,0.16,-0.23,-58.97
PMVP,9-Aug-23,Jun-23,-0.47,-0.38,0.09,19.15
PNC,18-Jul-23,Jun-23,3.31,3.36,0.05,1.51
PNFP,18-Jul-23,Jun-23,1.64,1.79,0.15,9.15
PNM,4-Aug-23,Jun-23,0.5,0.55,0.05,10
PNR,27-Jul-23,Jun-23,0.95,1.03,0.08,8.42
PNT,14-Aug-23,Jun-23,-0.29,-0.24,0.05,17.24
PNTG,8-Aug-23,Jun-23,0.16,0.18,0.02,12.5
PNW,3-Aug-23,Jun-23,1.19,0.94,-0.25,-21.01
PODD,8-Aug-23,Jun-23,0.24,0.38,0.14,58.33
POOL,20-Jul-23,Jun-23,6.01,5.89,-0.12,-2
POR,28-Jul-23,Jun-23,0.47,0.44,-0.03,-6.38
POST,3-Aug-23,Jun-23,0.89,1.52,0.63,70.79
POWI,3-Aug-23,Jun-23,0.34,0.36,0.02,5.88
POWW,9-Aug-23,Jun-23,0.02,0.05,0.03,150
PPBI,27-Jul-23,Jun-23,0.59,0.6,0.01,1.69
PPC,26-Jul-23,Jun-23,0.28,0.44,0.16,57.14
PPG,20-Jul-23,Jun-23,2.14,2.25,0.11,5.14
PPL,4-Aug-23,Jun-23,0.32,0.29,-0.03,-9.38
PRA,8-Aug-23,Jun-23,0.08,0.16,0.08,100
PRAA,7-Aug-23,Jun-23,-0.16,-0.1,0.06,37.5
PRCT,27-Jul-23,Jun-23,-0.57,-0.56,0.01,1.75
PRDO,3-Aug-23,Jun-23,0.52,0.61,0.09,17.31
PRFT,27-Jul-23,Jun-23,1.11,1,-0.11,-9.91
PRG,26-Jul-23,Jun-23,0.66,0.92,0.26,39.39
PRGO,8-Aug-23,Jun-23,0.54,0.63,0.09,16.67
PRGS,29-Jun-23,May-23,0.9,1.06,0.16,17.78
PRI,7-Aug-23,Jun-23,3.79,3.99,0.2,5.28
PRIM,7-Aug-23,Jun-23,0.5,0.8,0.3,60
